,exchange,cal_date,is_open,pretrade_date
0,SSE,20251231,1,20251230
1,SSE,20251230,1,20251229
2,SSE,20251229,1,20251226
3,SSE,20251228,0,20251226
4,SSE,20251227,0,20251226
5,SSE,20251226,1,20251225
6,SSE,20251225,1,20251224
7,SSE,20251224,1,20251223
8,SSE,20251223,1,20251222
9,SSE,20251222,1,20251219
10,SSE,20251221,0,20251219
11,SSE,20251220,0,20251219
12,SSE,20251219,1,20251218
13,SSE,20251218,1,20251217
14,SSE,20251217,1,20251216
15,SSE,20251216,1,20251215
16,SSE,20251215,1,20251212
17,SSE,20251214,0,20251212
18,SSE,20251213,0,20251212
19,SSE,20251212,1,20251211
20,SSE,20251211,1,20251210
21,SSE,20251210,1,20251209
22,SSE,20251209,1,20251208
23,SSE,20251208,1,20251205
24,SSE,20251207,0,20251205
25,SSE,20251206,0,20251205
26,SSE,20251205,1,20251204
27,SSE,20251204,1,20251203
28,SSE,20251203,1,20251202
29,SSE,20251202,1,20251201
30,SSE,20251201,1,20251128
31,SSE,20251130,0,20251128
32,SSE,20251129,0,20251128
33,SSE,20251128,1,20251127
34,SSE,20251127,1,20251126
35,SSE,20251126,1,20251125
36,SSE,20251125,1,20251124
37,SSE,20251124,1,20251121
38,SSE,20251123,0,20251121
39,SSE,20251122,0,20251121
40,SSE,20251121,1,20251120
41,SSE,20251120,1,20251119
42,SSE,20251119,1,20251118
43,SSE,20251118,1,20251117
44,SSE,20251117,1,20251114
45,SSE,20251116,0,20251114
46,SSE,20251115,0,20251114
47,SSE,20251114,1,20251113
48,SSE,20251113,1,20251112
49,SSE,20251112,1,20251111
50,SSE,20251111,1,20251110
51,SSE,20251110,1,20251107
52,SSE,20251109,0,20251107
53,SSE,20251108,0,20251107
54,SSE,20251107,1,20251106
55,SSE,20251106,1,20251105
56,SSE,20251105,1,20251104
57,SSE,20251104,1,20251103
58,SSE,20251103,1,20251031
59,SSE,20251102,0,20251031
60,SSE,20251101,0,20251031
61,SSE,20251031,1,20251030
62,SSE,20251030,1,20251029
63,SSE,20251029,1,20251028
64,SSE,20251028,1,20251027
65,SSE,20251027,1,20251024
66,SSE,20251026,0,20251024
67,SSE,20251025,0,20251024
68,SSE,20251024,1,20251023
69,SSE,20251023,1,20251022
70,SSE,20251022,1,20251021
71,SSE,20251021,1,20251020
72,SSE,20251020,1,20251017
73,SSE,20251019,0,20251017
74,SSE,20251018,0,20251017
75,SSE,20251017,1,20251016
76,SSE,20251016,1,20251015
77,SSE,20251015,1,20251014
78,SSE,20251014,1,20251013
79,SSE,20251013,1,20251010
80,SSE,20251012,0,20251010
81,SSE,20251011,0,20251010
82,SSE,20251010,1,20251009
83,SSE,20251009,1,20250930
84,SSE,20251008,0,20250930
85,SSE,20251007,0,20250930
86,SSE,20251006,0,20250930
87,SSE,20251005,0,20250930
88,SSE,20251004,0,20250930
89,SSE,20251003,0,20250930
90,SSE,20251002,0,20250930
91,SSE,20251001,0,20250930
92,SSE,20250930,1,20250929
93,SSE,20250929,1,20250926
94,SSE,20250928,0,20250926
95,SSE,20250927,0,20250926
96,SSE,20250926,1,20250925
97,SSE,20250925,1,20250924
98,SSE,20250924,1,20250923
99,SSE,20250923,1,20250922
100,SSE,20250922,1,20250919
101,SSE,20250921,0,20250919
102,SSE,20250920,0,20250919
103,SSE,20250919,1,20250918
104,SSE,20250918,1,20250917
105,SSE,20250917,1,20250916
106,SSE,20250916,1,20250915
107,SSE,20250915,1,20250912
108,SSE,20250914,0,20250912
109,SSE,20250913,0,20250912
110,SSE,20250912,1,20250911
111,SSE,20250911,1,20250910
112,SSE,20250910,1,20250909
113,SSE,20250909,1,20250908
114,SSE,20250908,1,20250905
115,SSE,20250907,0,20250905
116,SSE,20250906,0,20250905
117,SSE,20250905,1,20250904
118,SSE,20250904,1,20250903
119,SSE,20250903,1,20250902
120,SSE,20250902,1,20250901
121,SSE,20250901,1,20250829
122,SSE,20250831,0,20250829
123,SSE,20250830,0,20250829
124,SSE,20250829,1,20250828
125,SSE,20250828,1,20250827
126,SSE,20250827,1,20250826
127,SSE,20250826,1,20250825
128,SSE,20250825,1,20250822
129,SSE,20250824,0,20250822
130,SSE,20250823,0,20250822
131,SSE,20250822,1,20250821
132,SSE,20250821,1,20250820
133,SSE,20250820,1,20250819
134,SSE,20250819,1,20250818
135,SSE,20250818,1,20250815
136,SSE,20250817,0,20250815
137,SSE,20250816,0,20250815
138,SSE,20250815,1,20250814
139,SSE,20250814,1,20250813
140,SSE,20250813,1,20250812
141,SSE,20250812,1,20250811
142,SSE,20250811,1,20250808
143,SSE,20250810,0,20250808
144,SSE,20250809,0,20250808
145,SSE,20250808,1,20250807
146,SSE,20250807,1,20250806
147,SSE,20250806,1,20250805
148,SSE,20250805,1,20250804
149,SSE,20250804,1,20250801
150,SSE,20250803,0,20250801
151,SSE,20250802,0,20250801
152,SSE,20250801,1,20250731
153,SSE,20250731,1,20250730
154,SSE,20250730,1,20250729
155,SSE,20250729,1,20250728
156,SSE,20250728,1,20250725
157,SSE,20250727,0,20250725
158,SSE,20250726,0,20250725
159,SSE,20250725,1,20250724
160,SSE,20250724,1,20250723
161,SSE,20250723,1,20250722
162,SSE,20250722,1,20250721
163,SSE,20250721,1,20250718
164,SSE,20250720,0,20250718
165,SSE,20250719,0,20250718
166,SSE,20250718,1,20250717
167,SSE,20250717,1,20250716
168,SSE,20250716,1,20250715
169,SSE,20250715,1,20250714
170,SSE,20250714,1,20250711
171,SSE,20250713,0,20250711
172,SSE,20250712,0,20250711
173,SSE,20250711,1,20250710
174,SSE,20250710,1,20250709
175,SSE,20250709,1,20250708
176,SSE,20250708,1,20250707
177,SSE,20250707,1,20250704
178,SSE,20250706,0,20250704
179,SSE,20250705,0,20250704
180,SSE,20250704,1,20250703
181,SSE,20250703,1,20250702
182,SSE,20250702,1,20250701
183,SSE,20250701,1,20250630
184,SSE,20250630,1,20250627
185,SSE,20250629,0,20250627
186,SSE,20250628,0,20250627
187,SSE,20250627,1,20250626
188,SSE,20250626,1,20250625
189,SSE,20250625,1,20250624
190,SSE,20250624,1,20250623
191,SSE,20250623,1,20250620
192,SSE,20250622,0,20250620
193,SSE,20250621,0,20250620
194,SSE,20250620,1,20250619
195,SSE,20250619,1,20250618
196,SSE,20250618,1,20250617
197,SSE,20250617,1,20250616
198,SSE,20250616,1,20250613
199,SSE,20250615,0,20250613
200,SSE,20250614,0,20250613
201,SSE,20250613,1,20250612
202,SSE,20250612,1,20250611
203,SSE,20250611,1,20250610
204,SSE,20250610,1,20250609
205,SSE,20250609,1,20250606
206,SSE,20250608,0,20250606
207,SSE,20250607,0,20250606
208,SSE,20250606,1,20250605
209,SSE,20250605,1,20250604
210,SSE,20250604,1,20250603
211,SSE,20250603,1,20250530
212,SSE,20250602,0,20250530
213,SSE,20250601,0,20250530
214,SSE,20250531,0,20250530
215,SSE,20250530,1,20250529
216,SSE,20250529,1,20250528
217,SSE,20250528,1,20250527
218,SSE,20250527,1,20250526
219,SSE,20250526,1,20250523
220,SSE,20250525,0,20250523
221,SSE,20250524,0,20250523
222,SSE,20250523,1,20250522
223,SSE,20250522,1,20250521
224,SSE,20250521,1,20250520
225,SSE,20250520,1,20250519
226,SSE,20250519,1,20250516
227,SSE,20250518,0,20250516
228,SSE,20250517,0,20250516
229,SSE,20250516,1,20250515
230,SSE,20250515,1,20250514
231,SSE,20250514,1,20250513
232,SSE,20250513,1,20250512
233,SSE,20250512,1,20250509
234,SSE,20250511,0,20250509
235,SSE,20250510,0,20250509
236,SSE,20250509,1,20250508
237,SSE,20250508,1,20250507
238,SSE,20250507,1,20250506
239,SSE,20250506,1,20250430
240,SSE,20250505,0,20250430
241,SSE,20250504,0,20250430
242,SSE,20250503,0,20250430
243,SSE,20250502,0,20250430
244,SSE,20250501,0,20250430
