code,name,nature
SH600066,宇通客车,中长线
SH601919,中远海控,中长线
SH601872,招商轮船,中长线
SH688396,华润微,中长线
SH605117,德业股份,中长线
SH601898,中煤能源,中长线
SH601088,中国神华,中长线
SH601878,浙商证券,中长线
SH688981,中芯国际,中长线
SH600989,宝丰能源,中长线
SH600377,宁沪高速,中长线
SH601225,陕西煤业,中长线
SH688692,达梦数据,中长线
SH688012,中微公司,中长线
SH601857,中国石油,中长线
SH600938,中国海油,中长线
SH600028,中国石化,中长线
SH688008,澜起科技,中长线
SH600023,浙能电力,中长线
SH600674,川投能源,中长线
SH600886,国投电力,中长线
SH603893,瑞芯微,中长线
SH601899,紫金矿业,中长线
SH600025,华能水电,中长线
SH601985,中国核电,中长线
SZ002600,领益智造,中长线
SH688126,沪硅产业,中长线
SH600795,XD国电电,中长线
SZ003816,中国广核,中长线
SH603392,万泰生物,中长线
SH601127,赛力斯,中长线
SH600900,长江电力,中长线
SZ002736,国信证券,中长线
SZ300979,华利集团,中长线
SH600011,华能国际,中长线
SH600150,中国船舶,中长线
SH600012,皖通高速,中长线
SH688220,翱捷科技-U,中长线
SZ000333,美的集团,中长线
SH600350,山东高速,中长线
SH601628,中国人寿,中长线
SZ300498,温氏股份,中长线
SZ002714,牧原股份,中长线
SH600489,中金黄金,中长线
SH603993,洛阳钼业,中长线
SH601939,建设银行,中长线
SZ002371,北方华创,中长线
SZ300760,迈瑞医疗,中长线
SH601138,工业富联,中长线
SH601288,农业银行,中长线
SH601328,交通银行,中长线
SH601229,上海银行,中长线
SH600269,赣粤高速,中长线
SH601398,工商银行,中长线
SH601169,北京银行,中长线
SH600018,上港集团,中长线
SH600585,海螺水泥,中长线
SH600019,宝钢股份,中长线
SH601766,中国中车,中长线
SH688111,金山办公,中长线
SH600160,巨化股份,中长线
SH601988,中国银行,中长线
SH601816,京沪高铁,中长线
SH600803,新奥股份,中长线
SH600548,深高速,中长线
SH600188,兖矿能源,中长线
SZ300677,英科医疗,中长线
SH603195,公牛集团,中长线
SH600875,东方电气,中长线
SH600183,生益科技,中长线
SH601066,中信建投,中长线
SH600941,中国移动,中长线
SH600406,国电南瑞,中长线
SH601600,中国铝业,中长线
SH600971,恒源煤电,中长线
SZ001965,招商公路,中长线
SH601658,邮储银行,中长线
SH601006,大秦铁路,中长线
SH601018,宁波港,中长线
SZ000807,云铝股份,中长线
SH601881,中国银河,中长线
SH601319,中国人保,中长线
SH600519,贵州茅台,中长线
SH601601,中国太保,中长线
SH688303,大全能源,中长线
SH688271,联影医疗,中长线
SZ001289,龙源电力,中长线
SZ300433,蓝思科技,中长线
SZ002049,紫光国微,中长线
SH600309,万华化学,中长线
SZ000429,粤高速Ａ,中长线
SH600346,恒力石化,中长线
SH600039,四川路桥,中长线
SH600000,浦发银行,中长线
SH600968,海油发展,中长线
SH605499,东鹏饮料,中长线
SH601727,上海电气,中长线
SH603501,豪威集团,中长线
SH601128,常熟银行,中长线
SH688349,三一重能,中长线
SH601998,中信银行,中长线
SZ002001,新和成,中长线
SZ000408,藏格矿业,中长线
SZ002938,鹏鼎控股,中长线
SH601728,中国电信,中长线
SH600660,福耀玻璃,中长线
SH600809,山西汾酒,中长线
SH601995,中金公司,中长线
SH600036,招商银行,中长线
SZ002493,荣盛石化,中长线
