code,name,nature
SZ301565,中仑新材,短线
SH688701,卓锦股份,短线
SZ300404,博济医药,短线
SH688130,晶华微,短线
SH688115,思林杰,短线
SH688693,锴威特,短线
SH688646,ST逸飞,短线
SZ300469,信息发展,短线
SZ300462,ST华铭,短线
SZ301189,奥尼电子,短线
SZ300807,天迈科技,短线
SH688060,云涌科技,短线
SH688061,灿瑞科技,短线
SH688216,气派科技,短线
SH688296,和达科技,短线
SZ300930,屹通新材,短线
SH688288,鸿泉物联,短线
SZ300868,杰美特,短线
SZ300214,日科化学,短线
SZ301577,美信科技,短线
SH688512,慧智微-U,短线
SZ000010,美丽生态,短线
SZ002323,雅博股份,短线
SH600721,百花医药,短线
SH600337,美克家居,短线
SZ301222,浙江恒威,短线
SZ002178,延华智能,短线
SZ000957,中通客车,短线
SH600889,南京化纤,短线
SZ002199,*ST东晶,短线
SZ003026,中晶科技,短线
SH600084,中信尼雅,短线
SZ000504,*ST生物,短线
SH603586,金麒麟,短线
SH601579,会稽山,短线
SZ003032,*ST传智,短线
SH600661,昂立教育,短线
SZ002766,索菱股份,短线
SZ002105,信隆健康,短线
SZ300585,奥联电子,短线
SZ301393,昊帆生物,短线
SH688671,碧兴物联,短线
SZ301002,崧盛股份,短线
SZ301181,标榜股份,短线
SH688601,力芯微,短线
SH603268,*ST松发,短线
SH688689,银河微电,短线
SH688325,赛微微电,短线
SH600725,云维股份,短线
SZ300270,中威电子,短线
SH688328,深科达,短线
SZ300345,华民股份,短线
SH688171,纬德信息,短线
SZ002659,凯文教育,短线
SH688573,信宇人,短线
SZ301201,诚达药业,短线
SH688478,晶升股份,短线
SZ000868,安凯客车,短线
SZ002869,金溢科技,短线
SH600052,东望时代,短线
SH688206,概伦电子,短线
SZ300826,测绘股份,短线
SH688489,三未信安,短线
SZ300885,海昌新材,短线
SZ001298,好上好,短线
SZ301248,杰创智能,短线
SZ300671,富满微,短线
SZ000006,深振业Ａ,短线
SH600730,中国高科,短线
SH688118,普元信息,短线
SZ301060,兰卫医学,短线
SH688075,安旭生物,短线
SH688610,埃科光电,短线
SH688312,燕麦科技,短线
SZ000609,ST中迪,短线
SH688585,上纬新材,短线
SZ000506,招金黄金,短线
SZ300359,全通教育,短线
SZ002593,日上集团,短线
SH603559,ST通脉,短线
SZ300480,光力科技,短线
SZ301281,科源制药,短线
SH603068,博通集成,短线
SZ301170,锡南科技,短线
SH688667,菱电电控,短线
SH688079,美迪凯,短线
SH688591,泰凌微,短线
SH603117,万林物流,短线
SH600165,*ST宁科,短线
SH688502,茂莱光学,短线
SZ300240,飞力达,短线
SH688565,力源科技,短线
SH603668,天马科技,短线
SZ002656,*ST摩登,短线
SH688323,瑞华泰,短线
SH688638,誉辰智能,短线
SZ300200,高盟新材,短线
SZ002622,皓宸医疗,短线
SH688658,悦康药业,短线
SZ301038,深水规院,短线
SZ300531,优博讯,短线
SH688653,康希通信,短线
SZ301089,拓新药业,短线
SZ000603,盛达资源,短线
SH600396,华电辽能,短线
SZ301061,匠心家居,短线
SZ002374,中锐股份,短线
SH688332,中科蓝讯,短线
SH688597,煜邦电力,短线
SH688620,安凯微,短线
SZ002052,同洲电子,短线
SZ000526,学大教育,短线
SH688280,精进电动-UW,短线
SH688584,上海合晶,短线
SH688173,希荻微,短线
SZ300044,ST赛为,短线
SH688286,敏芯股份,短线
SH605178,时空科技,短线
SH688157,松井股份,短线
SZ300239,东宝生物,短线
SZ002700,万憬能源,短线
SH688419,耐科装备,短线
SZ301083,百胜智能,短线
SH688056,莱伯泰科,短线
SZ000782,恒申新材,短线
SH600616,金枫酒业,短线
SH688051,佳华科技,短线
SH688722,同益中,短线
SZ003018,金富科技,短线
SH688681,科汇股份,短线
SZ300098,高新兴,短线
SH605108,同庆楼,短线
SZ300019,硅宝科技,短线
SH688367,工大高科,短线
SH688655,迅捷兴,短线
SH688622,禾信仪器,短线
SH688648,中邮科技,短线
SH603061,金海通,短线
SH688131,皓元医药,短线
SZ000672,上峰水泥,短线
SH688215,瑞晟智能,短线
SZ300903,科翔股份,短线
SH688329,艾隆科技,短线
SH688420,美腾科技,短线
SH688283,坤恒顺维,短线
SH603685,晨丰科技,短线
SH688233,神工股份,短线
SZ001230,劲旅环境,短线
SH688593,新相微,短线
SH688381,帝奥微,短线
SH688669,聚石化学,短线
SH688410,山外山,短线
SZ002355,兴民智通,短线
SH688049,炬芯科技,短线
SH688786,悦安新材,短线
SZ300370,安控科技,短线
SZ301392,汇成真空,短线
SH600370,三房巷,短线
SZ301070,开勒股份,短线
SH603076,乐惠国际,短线
SH688137,近岸蛋白,短线
SH688229,博睿数据,短线
SH688517,金冠电气,短线
SH688429,时创能源,短线
SH688511,*ST天微,短线
SH688618,三旺通信,短线
SZ300650,太龙股份,短线
SH688337,普源精电,短线
SZ300192,科德教育,短线
SH688132,邦彦技术,短线
SH688651,盛邦安全,短线
SH600783,鲁信创投,短线
SH688529,豪森智能,短线
SH603172,万丰股份,短线
SZ200468,宁通信B,短线
SH600192,长城电工,短线
SH688373,盟科药业-U,短线
SZ002310,东方园林,短线
SZ002457,青龙管业,短线
SZ300817,双飞集团,短线
SH688602,康鹏科技,短线
SH688576,西山科技,短线
SH688163,赛伦生物,短线
SH688207,格灵深瞳,短线
SZ300139,晓程科技,短线
SZ300688,创业黑马,短线
SH688656,浩欧博,短线
SH688459,哈铁科技,短线
SH688238,和元生物,短线
SH688589,力合微,短线
SZ002767,先锋电子,短线
SH688272,富吉瑞,短线
SH688053,ST思科瑞,短线
SZ300617,安靠智电,短线
SH688291,金橙子,短线
SH688450,光格科技,短线
SH688317,之江生物,短线
SH688485,九州一轨,短线
SH688657,浩辰软件,短线
SH688575,亚辉龙,短线
SH688203,海正生材,短线
SH603324,盛剑科技,短线
SH688247,宣泰医药,短线
SH688528,秦川物联,短线
SH688665,四方光电,短线
SH688252,天德钰,短线
SZ300727,润禾材料,短线
SH688395,正弦电气,短线
SZ002277,友阿股份,短线
SH688515,裕太微-U,短线
SH688152,麒麟信安,短线
SH688530,欧莱新材,短线
SH688695,中创股份,短线
SH688096,京源环保,短线
SH688507,索辰科技,短线
SH688265,南模生物,短线
SH688069,德林海,短线
SH688067,爱威科技,短线
SZ002716,湖南白银,短线
SH688345,博力威,短线
SZ300304,云意电气,短线
SZ301345,涛涛车业,短线
SH603389,*ST亚振,短线
SZ301230,泓博医药,短线
SZ002652,扬子新材,短线
SH688379,华光新材,短线
SH600792,云煤能源,短线
SH688225,亚信安全,短线
SH688184,ST帕瓦,短线
SH605116,奥锐特,短线
SZ002970,锐明技术,短线
SH600059,古越龙山,短线
SH688549,中巨芯-U,短线
SZ002889,东方嘉盛,短线
SH688197,首药控股-U,短线
SZ301087,可孚医疗,短线
SH688455,科捷智能,短线
SH688298,东方生物,短线
SH688021,奥福科技,短线
SH688178,万德斯,短线
SH688227,品高股份,短线
SH688201,信安世纪,短线
SH688038,中科通达,短线
SH688251,井松智能,短线
SZ002501,利源股份,短线
SH603356,华菱精工,短线
SH688720,艾森股份,短线
SZ000752,ST西发,短线
SZ301166,优宁维,短线
SH688662,富信科技,短线
SH688219,会通股份,短线
SH688607,康众医疗,短线
SH688129,东来技术,短线
SH600212,绿能慧充,短线
SZ301229,纽泰格,短线
SZ002799,环球印务,短线
SH688466,金科环境,短线
SH688616,西力科技,短线
SH688335,复洁环保,短线
SZ002197,ST证通,短线
SH688448,磁谷科技,短线
SH688081,兴图新科,短线
SZ300863,卡倍亿,短线
SH688393,安必平,短线
SZ300400,劲拓股份,短线
SH688613,奥精医疗,短线
SH688350,富淼科技,短线
SH900936,鄂资B股,短线
SH688683,莱尔科技,短线
SH688068,热景生物,短线
SZ301111,粤万年青,短线
SH688426,康为世纪,短线
SH688026,洁特生物,短线
SZ300835,龙磁科技,短线
SH688370,丛麟科技,短线
SZ002037,保利联合,短线
SZ002350,北京科锐,短线
SZ301520,万邦医药,短线
SZ200706,瓦轴B,短线
SH688416,恒烁股份,短线
SH688136,科兴制药,短线
SH688011,新光光电,短线
SH688718,唯赛勃,短线
SZ300862,蓝盾光电,短线
SH601133,柏诚股份,短线
SZ300656,民德电子,短线
SH688078,龙软科技,短线
SH688121,卓然股份,短线
SH688159,有方科技,短线
SZ300467,迅游科技,短线
SH688719,爱科赛博,短线
SH688428,诺诚健华-U,短线
SH688170,德龙激光,短线
SZ301379,天山电子,短线
SH688267,中触媒,短线
SH688353,华盛锂电,短线
SH688257,新锐股份,短线
SZ001259,利仁科技,短线
SZ301282,金禄电子,短线
SZ002173,创新医疗,短线
SH688371,菲沃泰,短线
SH600624,ST复华,短线
SH688196,卓越新能,短线
SZ301000,肇民科技,短线
SH688307,中润光学,短线
SH688319,欧林生物,短线
SH688004,博汇科技,短线
SZ301055,张小泉,短线
SZ000014,沙河股份,短线
SZ002332,仙琚制药,短线
SH688580,伟思医疗,短线
SH688030,山石网科,短线
SH600136,ST明诚,短线
SH688480,赛恩斯,短线
SH688222,成都先导,短线
SH688432,有研硅,短线
SZ000520,凤凰航运,短线
SH688258,卓易信息,短线
SH688098,申联生物,短线
SH688133,泰坦科技,短线
SH600774,汉商集团,短线
SH688057,金达莱,短线
SZ300555,ST路通,短线
SH688334,西高院,短线
SH688588,凌志软件,短线
SZ300292,吴通控股,短线
SH688619,罗普特,短线
SH688338,赛科希德,短线
SH688259,创耀科技,短线
SH688401,路维光电,短线
SH601515,东峰集团,短线
SH688168,安博通,短线
SH688189,南新制药,短线
SZ300169,天晟新材,短线
SH688399,硕世生物,短线
SH688046,药康生物,短线
SH688737,中自科技,短线
SH688113,联测科技,短线
SH603309,维力医疗,短线
SZ301369,联动科技,短线
SZ301187,欧圣电气,短线
SZ002382,蓝帆医疗,短线
SZ200020,深华发B,短线
SH688231,隆达股份,短线
SH900902,市北B股,短线
SH603119,浙江荣泰,短线
SH688670,金迪克,短线
SH603619,中曼石油,短线
SH688788,科思科技,短线
SH688679,通源环境,短线
SH688659,元琛科技,短线
SH603855,华荣股份,短线
SZ300436,广生堂,短线
SH688543,国科军工,短线
SZ002313,日海智能,短线
SZ300423,昇辉科技,短线
SH605277,新亚电子,短线
SH688377,迪威尔,短线
SZ000011,深物业A,短线
SH688285,高铁电气,短线
SH688606,奥泰生物,短线
SH688176,亚虹医药-U,短线
SH688255,凯尔达,短线
SH688010,福光股份,短线
SZ301096,百诚医药,短线
SZ300998,宁波方正,短线
SZ002951,金时科技,短线
SZ200058,深赛格B,短线
SH688403,汇成股份,短线
SZ200992,中鲁B,短线
SH688716,中研股份,短线
SZ301361,众智科技,短线
SH605003,众望布艺,短线
SZ300592,华凯易佰,短线
SH688369,致远互联,短线
SH688509,正元地信,短线
SZ200581,苏威孚B,短线
SH600106,重庆路桥,短线
SH688358,祥生医疗,短线
SH688609,九联科技,短线
SH688566,吉贝尔,短线
SH688687,凯因科技,短线
SH688013,天臣医疗,短线
SH688028,沃尔德,短线
SH688119,中钢洛耐,短线
SZ300736,百邦科技,短线
SH688181,八亿时空,短线
SZ200017,深中华B,短线
SH600604,市北高新,短线
SH688105,诺唯赞,短线
SH600724,宁波富达,短线
SZ201872,招港B,短线
SH688628,优利德,短线
SH688351,微电生理,短线
SH688112,鼎阳科技,短线
SZ300632,光莆股份,短线
SZ002471,中超控股,短线
SZ002902,铭普光磁,短线
SH688352,颀中科技,短线
SH688109,品茗科技,短线
SH688313,仕佳光子,短线
SH688386,泛亚微透,短线
SH688733,壹石通,短线
SH688162,巨一科技,短线
SZ300071,福石控股,短线
SH688562,航天软件,短线
SZ300460,惠伦晶体,短线
SH688138,清溢光电,短线
SH600935,华塑股份,短线
SZ301507,民生健康,短线
SH603976,正川股份,短线
SH688308,欧科亿,短线
SZ300141,和顺电气,短线
SZ301178,天亿马,短线
SH688550,瑞联新材,短线
SH603168,莎普爱思,短线
SH688077,大地熊,短线
SH688092,爱科科技,短线
SH900929,锦旅B股,短线
SH688678,福立旺,短线
SH688767,博拓生物,短线
SZ300261,雅本化学,短线
SH688087,英科再生,短线
SH605288,凯迪股份,短线
SH688022,瀚川智能,短线
SH688143,长盈通,短线
SZ300321,同大股份,短线
SZ300697,电工合金,短线
SH688557,兰剑智能,短线
SH603829,洛凯股份,短线
SZ200019,深粮B,短线
SZ301225,恒勃股份,短线
SZ002816,*ST和科,短线
SH600425,青松建化,短线
SH688212,澳华内镜,短线
SZ301333,诺思格,短线
SH688696,极米科技,短线
SZ000863,三湘印象,短线
SH688123,聚辰股份,短线
SH600880,博瑞传播,短线
SH688314,康拓医疗,短线
SH688306,均普智能,短线
SZ300698,万马科技,短线
SZ200726,鲁泰B,短线
SH688357,建龙微纳,短线
SH688218,江苏北人,短线
SH688073,毕得医药,短线
SZ002492,恒基达鑫,短线
SZ200028,一致B,短线
SH688359,三孚新科,短线
SZ300992,泰福泵业,短线
SH688571,杭华股份,短线
SH688315,诺禾致源,短线
SH688101,三达膜,短线
SH688191,智洋创新,短线
