code,name,nature
SH688076,ST诺泰,波段
SH688458,美芯晟,波段
SH688261,东微半导,波段
SZ002243,力合科创,波段
SH603826,坤彩科技,波段
SH688045,必易微,波段
SZ300255,常山药业,波段
SH688498,源杰科技,波段
SH688536,思瑞浦,波段
SH688508,芯朋微,波段
SZ300661,圣邦股份,波段
SH688141,杰华特,波段
SH688107,安路科技,波段
SH688484,南芯科技,波段
SH688531,日联科技,波段
SZ301509,金凯生科,波段
SH688188,柏楚电子,波段
SZ300010,豆神教育,波段
SH601001,晋控煤业,波段
SH688372,伟测科技,波段
SZ301095,广立微,波段
SH600550,保变电气,波段
SH688277,天智航-U,波段
SH688368,晶丰明源,波段
SH601298,青岛港,波段
SH601918,新集能源,波段
SH600133,东湖高新,波段
SH688103,国力电子,波段
SH688071,华依科技,波段
SH688244,永信至诚,波段
SH688175,高凌信息,波段
SH688052,纳芯微,波段
SH600642,申能股份,波段
SH688027,国盾量子,波段
SH688230,芯导科技,波段
SH600236,桂冠电力,波段
SZ300613,富瀚微,波段
SH600026,中远海能,波段
SZ002338,奥普光电,波段
SH688326,经纬恒润-W,波段
SH688766,普冉股份,波段
SZ002755,奥赛康,波段
SH688193,仁度生物,波段
SH688380,中微半导,波段
SH688200,华峰测控,波段
SH600686,金龙汽车,波段
SH688355,明志科技,波段
SH688548,广钢气体,波段
SZ301211,亨迪药业,波段
SH688608,恒玄科技,波段
SH689009,九号公司-WD,波段
SH688290,景业智能,波段
SH688596,正帆科技,波段
SZ000426,兴业银锡,波段
SH688037,芯源微,波段
SH688409,富创精密,波段
SH601777,千里科技,波段
SH600483,福能股份,波段
SH688099,晶晨股份,波段
SH688711,宏微科技,波段
SH688728,格科微,波段
SZ300757,罗博特科,波段
SH688691,灿芯股份,波段
SH688612,威迈斯,波段
SZ001872,招商港口,波段
SH600985,淮北矿业,波段
SH688048,长光华芯,波段
SZ001229,魅视科技,波段
SH688249,晶合集成,波段
SH600601,方正科技,波段
SH688387,信科移动-U,波段
SH600027,华电国际,波段
SH688153,唯捷创芯,波段
SH688479,友车科技,波段
SH688018,乐鑫科技,波段
SZ002318,久立特材,波段
SH688486,龙迅股份,波段
SZ002353,杰瑞股份,波段
SH600711,盛屯矿业,波段
SH601958,金钼股份,波段
SH688301,奕瑞科技,波段
SH688525,佰维存储,波段
SH601928,凤凰传媒,波段
SH688777,中控技术,波段
SZ002497,雅化集团,波段
SZ002365,永安药业,波段
SH688582,芯动联科,波段
SH688278,特宝生物,波段
SH688120,华海清科,波段
SH600398,海澜之家,波段
SZ300319,麦捷科技,波段
SH603129,春风动力,波段
SH688789,宏华数科,波段
SH603979,金诚信,波段
SH688385,复旦微电,波段
SH603444,吉比特,波段
SZ301269,华大九天,波段
SH688330,宏力达,波段
SH688558,国盛智科,波段
SH688234,天岳先进,波段
SH688050,爱博医疗,波段
SH688146,中船特气,波段
SH603277,银都股份,波段
SH601000,唐山港,波段
SH688072,拓荆科技,波段
SZ000543,皖能电力,波段
SH688205,德科立,波段
SH688469,芯联集成-U,波段
SH600801,华新建材,波段
SH688135,利扬芯片,波段
SZ002532,天山铝业,波段
SH688009,中国通号,波段
SH688652,京仪装备,波段
SH688535,华海诚科,波段
SH688439,振华风光,波段
SH688668,鼎通科技,波段
SH603077,和邦生物,波段
SZ300910,瑞丰新材,波段
SH601101,昊华能源,波段
SZ000975,山金国际,波段
SH603583,捷昌驱动,波段
SH600777,*ST新潮,波段
SH688702,盛科通信-U,波段
SZ300520,科大国创,波段
SH688300,联瑞新材,波段
SH688408,中信博,波段
SH688798,艾为电子,波段
SH688281,华秦科技,波段
SH688114,华大智造,波段
SH688019,安集科技,波段
SH688570,天玛智控,波段
SH688195,腾景科技,波段
SH601168,西部矿业,波段
SH688110,东芯股份,波段
SH688595,芯海科技,波段
SH688347,华虹公司,波段
SZ300628,亿联网络,波段
SH688318,财富趋势,波段
SH688211,中科微至,波段
SH688169,石头科技,波段
SZ000883,湖北能源,波段
SH688003,天准科技,波段
SH601975,招商南油,波段
SH688521,芯原股份,波段
SZ002149,西部材料,波段
SH600499,科达制造,波段
SH688578,艾力斯,波段
SH688167,炬光科技,波段
SH601179,中国西电,波段
SH600733,北汽蓝谷,波段
SH688182,灿勤科技,波段
SH688083,中望软件,波段
SZ300672,国科微,波段
SZ300394,天孚通信,波段
SH688266,泽璟制药-U,波段
SH688435,英方软件,波段
SZ301512,智信精密,波段
SZ002262,恩华药业,波段
SH601136,首创证券,波段
SH600863,内蒙华电,波段
SZ300285,国瓷材料,波段
SZ002128,电投能源,波段
SZ300327,中颖电子,波段
SH688400,凌云光,波段
SH688237,超卓航科,波段
SH688198,佰仁医疗,波段
SH601077,渝农商行,波段
SZ300623,捷捷微电,波段
SH603219,富佳股份,波段
SZ300276,三丰智能,波段
SZ000935,四川双马,波段
SH688561,奇安信-U,波段
SH600295,鄂尔多斯,波段
SZ002408,齐翔腾达,波段
SH688209,英集芯,波段
SH688433,华曙高科,波段
SH688627,精智达,波段
SH600219,南山铝业,波段
SZ002847,盐津铺子,波段
SH600312,平高电气,波段
SH688165,埃夫特-U,波段
SH688697,纽威数控,波段
SH688361,中科飞测,波段
SZ002409,雅克科技,波段
SZ000933,神火股份,波段
SZ000680,山推股份,波段
SH600901,江苏金租,波段
SH688172,燕东微,波段
SH600032,浙江新能,波段
SH601699,潞安环能,波段
SZ000737,北方铜业,波段
SH688082,盛美上海,波段
SH600522,中天科技,波段
SZ200596,古井贡B,波段
SH600970,中材国际,波段
SZ000676,智度股份,波段
SH688055,龙腾光电,波段
SH688147,微导纳米,波段
SH688472,阿特斯,波段
SH603871,嘉友国际,波段
SZ000960,锡业股份,波段
SH600373,中文传媒,波段
SZ002032,苏泊尔,波段
SH688592,司南导航,波段
SH688161,威高骨科,波段
SH688106,金宏气体,波段
SH601118,海南橡胶,波段
SZ000876,新希望,波段
SH600282,南钢股份,波段
SH688002,睿创微纳,波段
SH600873,梅花生物,波段
SZ300489,光智科技,波段
SH600395,盘江股份,波段
SZ002025,航天电器,波段
SZ002821,凯莱英,波段
SZ300458,全志科技,波段
SH688035,德邦科技,波段
SH603707,健友股份,波段
SH603690,至纯科技,波段
SH601799,星宇股份,波段
SH688248,南网科技,波段
SZ301498,乖宝宠物,波段
SH688289,圣湘生物,波段
SH688661,和林微纳,波段
SH688001,华兴源创,波段
SZ002028,思源电气,波段
SZ300232,洲明科技,波段
SZ300601,康泰生物,波段
SH600388,龙净环保,波段
SH688158,优刻得-W,波段
SZ000088,盐田港,波段
SH600098,广州发展,波段
SH688800,瑞可达,波段
SH688065,凯赛生物,波段
SH600546,山煤国际,波段
SH600161,天坛生物,波段
SH688709,成都华微,波段
SZ000983,山西焦煤,波段
SH603203,快克智能,波段
SH600348,华阳股份,波段
SH688787,海天瑞声,波段
SH688623,双元科技,波段
SH603039,泛微网络,波段
SH605111,新洁能,波段
SZ002252,上海莱士,波段
SH688213,思特威-W,波段
SZ002270,华明装备,波段
SZ000027,深圳能源,波段
SH688187,时代电气,波段
SH688559,海目星,波段
SZ300855,图南股份,波段
SH688333,铂力特,波段
SH600362,江西铜业,波段
SZ002130,沃尔核材,波段
SH688617,惠泰医疗,波段
SH603338,浙江鼎力,波段
SH600323,瀚蓝环境,波段
SH688122,西部超导,波段
SZ002608,江苏国信,波段
SH688305,科德数控,波段
SZ300012,华测检测,波段
SH603505,金石资源,波段
SH688690,纳微科技,波段
SZ300916,朗特智能,波段
SH688322,奥比中光-UW,波段
SH603589,口子窖,波段
SH688686,奥普特,波段
SH600216,浙江医药,波段
SH688047,龙芯中科,波段
SH601333,广深铁路,波段
SH688202,美迪西,波段
SH688139,海尔生物,波段
SH601099,太平洋,波段
SH600428,中远海特,波段
SH601019,山东出版,波段
SH688262,国芯科技,波段
SH600029,南方航空,波段
SH600583,海油工程,波段
SH600461,洪城环境,波段
SH600685,中船防务,波段
SZ300666,江丰电子,波段
SZ000875,吉电股份,波段
SH600008,首创环保,波段
SH601117,中国化学,波段
SH600773,西藏城投,波段
